Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Abs_Pressure,Temperature
71113180,0.0017573777803061574,0.0005568608473600634,-9.81673230957373,8.536209925628577e-05,0.0007402108231113827,-0.000482366716106802,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71120650,0.002614052987921056,0.005067241175061632,-9.825629137271484,-0.00028315761601001646,0.000586980319909898,-0.00032191491228473167,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71142876,0.009280981517660436,-0.0002939656544862501,-9.816595934146484,-0.00047764997297812875,-6.739603212135153e-05,0.00010645156252253075,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71153106,0.012766534484255132,-0.0015476301480470411,-9.810169122928222,-0.0004941349646254319,-0.00023276281807137894,-2.353583587278406e-05,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71163194,0.014311956263410863,-0.001990723626726698,-9.818915270083984,-7.980690069993648e-05,-0.00031496364043358954,-3.113756721318493e-05,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71172911,0.002606036163198766,-0.011270794289225172,-9.817219637149414,0.00043587415412153427,-0.00040203387560121956,0.00016727176879471374,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71183141,0.007904591060507116,-0.011852647380941939,-9.817788980716308,0.0003195051655926866,-3.502592242820429e-05,1.2765604686543544e-05,193044.1875,53704.1015625,307216.25,1010.087158203125,45.37892532348633
71192938,0.0022600938039980534,-0.0008562093893447198,-9.810669814776768,-0.0002144758206721782,0.0003642417077020666,-0.0003582495136649124,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71203106,-0.0025108258765973446,0.002146665163858863,-9.80513373537003,0.00021196101196814185,7.27944070053211e-05,-0.00017116383416547996,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71213163,-0.0023323099654950497,0.000685628660543891,-9.806319152545322,0.00040499868673045045,7.449526396104307e-05,-0.00018436227575845641,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71222990,0.0009509746390543583,-0.0032863056579985894,-9.803986465167393,0.0003270951540745408,-5.9354561981845785e-05,-0.0004307624639474563,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71233632,-0.0009088616412915584,-0.00591585396923211,-9.805015479754795,0.00011175049921270316,3.31889540933928e-05,0.00012109425559204447,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71242904,-0.0004485200685300228,-0.000644918374196557,-9.812796508502354,-0.0004066604912676304,-0.0005737251840951928,-0.0003001366148234121,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71253137,0.00749558698713404,-0.0032950898925223626,-9.81358042879044,-0.00045290703083615894,-0.0003429214621615672,-0.0004010984429620914,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71263186,0.007821967120762885,-0.012778442196027306,-9.816862022113193,-0.00015800697538530598,-4.218220334277316e-05,1.7764379736337835e-05,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71272937,6.429594337564737e-05,-0.01165344922937539,-9.810367500018467,-0.00011197078375140349,-0.0003421156062000507,0.00016717524165899868,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71283191,0.0036283035236559513,-0.017632540158406762,-9.804654037188877,-0.0004237908603553116,-0.00043061428647032766,0.0002683967669148222,200680.9375,61128.7109375,307666.28125,1010.07958984375,45.378387451171875
71292950,0.009312536306100405,-0.004767979624398677,-9.80446517159579,-0.0004684217093229477,-0.00031985980512983306,0.000668521827151991,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71303119,0.006468925363736666,0.0029675782297768905,-9.806283828517177,-0.00033757528226787195,-0.0001954601784731648,0.0009876686693821024,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71313139,-0.002815429382605039,0.002771195826403172,-9.81001174142001,-0.00021921554808003799,-8.116303706484987e-05,0.0006162402590922933,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71322986,-0.0011660422017998329,-0.004251460673936336,-9.813239928981044,-0.00020667035651357815,1.033517128378944e-05,-0.00010867023740895876,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71333554,0.0001178418466620812,-0.0039979621197065995,-9.817496177455165,-0.00040065885341690824,-0.00044347605489603384,6.61146644921895e-05,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71342875,-0.000300679617208921,0.003925111946932347,-9.821315643092372,-0.0006925164890192632,-0.00026222073120008363,0.00037048400770406387,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71353119,0.002027746028619326,-0.001608546021111934,-9.815606948634365,-0.0005627957690224235,-0.00017685670445500082,0.00041146554792764745,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71363149,-0.0001361782482094398,-0.0055567055369696305,-9.819915649195888,8.932769187295839e-05,-0.00041632430565952463,4.736730113624743e-05,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
71373002,0.0035394241282515893,-0.0072363495255789445,-9.818989631434658,0.0004214733670748587,-0.0002769017219165261,-0.0001324221644830037,195907.96875,54658.69921875,304966.25,1010.069580078125,45.37516403198242
