Timestamp,Accel_X,Accel_Y,Accel_Z,Speed_X,Speed_Y,Speed_Z,Position_X,Position_Y,Position_Z,Pitch,Yaw,Roll
0.004965,-0.0015250498550983093,-0.0018199715540909293,-0.0025181295194069975,-7.571872530563105e-06,-9.036158766061463e-06,1.2502513063855742e-05,-3.759434711424582e-08,-4.486452827349516e-08,6.207497736204376e-08,2.41275595281942e-06,-1.7757973909325653e-06,2.647331482137663e-06
0.009715999999999999,-0.0017654955714039703,-0.0012828122315848753,-0.0021376133473598458,-1.5959741990303367e-05,-1.5130799678321206e-05,2.2658314077162368e-05,-1.1341908131017712e-07,-1.167509575451992e-07,1.6972462754264217e-07,5.230792982519207e-06,-2.456081782853123e-06,5.801444206428047e-06
0.015198,0.0018408978666893084,-0.004895333708722478,0.002372312637977103,-5.867939885112579e-06,-4.196701906953783e-05,9.65329619577189e-06,-1.4558712776036427e-07,-3.4681415608440557e-07,2.2264399728786368e-07,7.626099189955001e-06,-2.09611749262388e-06,9.707598923196696e-06
0.022181,0.0018376629698381452,-0.012032653869706747,0.00448565502159326,6.964460633267188e-06,-0.00012599104104170003,-2.167003282001384e-05,-9.695429915825951e-08,-1.2266095956785969e-06,7.132215810570704e-08,9.067352060355986e-06,-6.350644100908021e-07,1.454516700883717e-05
0.025363999999999998,0.0011125126984300585,-0.010499447577538365,0.0014577391226922032,1.0505588552370063e-05,-0.00015941078268100466,-2.6310016447543123e-05,-6.35150107960656e-08,-1.7340141169522347e-06,-1.2422624246822731e-08,9.69337818310586e-06,-9.669568091806625e-08,1.666717434075491e-05
0.03007,0.003276146312537147,-0.0033595192637195445,0.001793432365147396,2.592313309916988e-05,-0.00017522068033606883,-3.474990915792677e-05,5.847925356862785e-08,-2.5586026386137745e-06,-1.7595569674402612e-07,8.296211223430487e-06,1.1455477054217388e-06,1.803177399035071e-05
0.034713,-0.002578851057506518,0.003054097165071684,-0.004546594646008373,1.3949527639167115e-05,-0.000161040507198641,-1.3640070216509891e-05,1.2324691039728075e-07,-3.3063137135370647e-06,-2.392865427592816e-07,5.841375211442481e-06,2.0699677200642977e-06,1.7682043730959562e-05
0.039905,-0.007801192648829247,0.01169125690920367,-0.004102182580563607,-2.655426459355433e-05,-0.00010033950132605557,7.658461741776355e-06,-1.4622831372453311e-08,-3.827276404421945e-06,-1.9952380939597875e-07,1.1685375374519734e-06,1.7904067292062847e-06,1.646250631045692e-05
0.044768,-0.010594449052797902,0.008824910373011058,-0.0068802358637984895,-7.807507033731053e-05,-5.7423962182102794e-05,4.111704874742841e-05,-3.9430189842279446e-07,-4.106529132513511e-06,4.283986627656115e-10,-1.9116260258433347e-06,1.0049200677624251e-06,1.4190685260125138e-05
0.049939000000000004,-0.010933722212473617,0.007900706009116206,-0.00883526815824709,-0.00013461334789801162,-1.656941140896289e-05,8.680422039372411e-05,-1.0903875204034126e-06,-4.192209558909258e-06,4.49293022318713e-07,-3.903004854743369e-06,-6.895051094734532e-07,1.0834958730930514e-05
0.074964,0.0015206235228769332,-0.007649876858572968,5.7744957347338755e-05,-9.655974423801637e-05,-0.0002080075797947514,8.535915283610695e-05,-3.506795119959772e-06,-9.397599243272911e-06,2.5854058220422894e-06,6.2316053007189225e-06,5.808325003635505e-07,1.2881186765642381e-05
0.084726,-0.003347208806271155,-0.007291873217178574,0.007278013483142942,-0.0001292351966048354,-0.00027919084614084865,1.431118521366555e-05,-4.768389109216175e-06,-1.2123060283299876e-05,2.7251116120980925e-06,9.651876503942709e-06,1.524957455072698e-06,1.4171439474368545e-05
